property_id,adresse,by_og_zip,ejendomsværdi_2024,grundværdi_2024,ejendomsværdi_2022,grundværdi_2022
491,"Serridslevvej 16, 3 4",2100 København Ø,4.540.000 kr.,2.908.000 kr.,,
492,"Serridslevvej 16, 3 2",2100 København Ø,3.934.000 kr.,2.498.000 kr.,,
493,"Serridslevvej 16, 3 1",2100 København Ø,4.899.000 kr.,3.147.000 kr.,,
494,"Serridslevvej 16, 4 3",2100 København Ø,5.161.000 kr.,3.308.000 kr.,,
495,"Serridslevvej 16, 4 2",2100 København Ø,4.843.000 kr.,3.099.000 kr.,,
496,"Serridslevvej 16, 4 1",2100 København Ø,5.002.000 kr.,3.204.000 kr.,,
497,"Serridslevvej 16, 5 2",2100 København Ø,4.735.000 kr.,3.028.000 kr.,,
498,"Serridslevvej 16, 5 1",2100 København Ø,4.945.000 kr.,3.167.000 kr.,,
499,"Serridslevvej 18, st",2100 København Ø,2.869.000 kr.,1.793.000 kr.,,
412,"Borgmester Jensens Allé 31D, 3 3",2100 København Ø,5.159.000 kr.,3.313.000 kr.,,
413,,,,,,
24,"Jens Otto Krags Gade 16, 6 tv",2300 København S,9.151.000 kr.,4.935.000 kr.,9.288.000 kr.,4.969.000 kr.
29,"Jens Otto Krags Gade 18, 1 th",2300 København S,5.250.000 kr.,3.129.000 kr.,,
34,"Jens Otto Krags Gade 18, 4 tv",2300 København S,5.275.000 kr.,3.119.000 kr.,5.354.000 kr.,3.141.000 kr.
39,"Jens Otto Krags Gade 18, 6 th",2300 København S,5.969.000 kr.,3.526.000 kr.,,
44,"Jens Otto Krags Gade 20, 1 th",2300 København S,4.899.000 kr.,2.929.000 kr.,4.972.000 kr.,2.949.000 kr.
49,"Jens Otto Krags Gade 20, 4 tv",2300 København S,5.297.000 kr.,3.147.000 kr.,,
608,"Serridslevvej 10, st 2",2100 København Ø,3.596.000 kr.,2.272.000 kr.,3.650.000 kr.,2.288.000 kr.
609,"Serridslevvej 10, st 1",2100 København Ø,3.694.000 kr.,2.338.000 kr.,3.749.000 kr.,2.354.000 kr.
610,"Serridslevvej 10, 1 3",2100 København Ø,4.218.000 kr.,2.682.000 kr.,,
611,"Serridslevvej 10, 1 2",2100 København Ø,4.467.000 kr.,2.850.000 kr.,,
612,"Serridslevvej 10, 1 1",2100 København Ø,3.771.000 kr.,2.380.000 kr.,,
613,"Serridslevvej 10, 2 3",2100 København Ø,4.261.000 kr.,2.706.000 kr.,,
614,"Serridslevvej 10, 2 2",2100 København Ø,4.512.000 kr.,2.875.000 kr.,,
615,"Serridslevvej 10, 2 1",2100 København Ø,3.810.000 kr.,2.401.000 kr.,,
616,,,,,,
617,"Serridslevvej 10, 3 3",2100 København Ø,4.328.000 kr.,2.742.000 kr.,,
618,"Serridslevvej 10, 3 2",2100 København Ø,4.584.000 kr.,2.914.000 kr.,,
619,"Serridslevvej 10, 3 1",2100 København Ø,3.870.000 kr.,2.434.000 kr.,,
620,"Serridslevvej 10, 4 3",2100 København Ø,4.263.000 kr.,2.687.000 kr.,,
621,"Serridslevvej 10, 4 2",2100 København Ø,4.523.000 kr.,2.862.000 kr.,,
622,"Serridslevvej 10, 4 1",2100 København Ø,3.848.000 kr.,2.408.000 kr.,,
623,"Borgmester Jensens Allé 25A, 2 1",2100 København Ø,6.406.000 kr.,4.092.000 kr.,,
624,"Borgmester Jensens Allé 25A, 2 2",2100 København Ø,3.741.000 kr.,2.358.000 kr.,,
625,"Torvegade 52, 4",1400 København K,7.723.000 kr.,5.237.000 kr.,,
626,"Borgmester Jensens Allé 25A, 2 3",2100 København Ø,4.976.000 kr.,3.190.000 kr.,,
627,"Borgmester Jensens Allé 25A, 3 1",2100 København Ø,6.506.000 kr.,4.147.000 kr.,,
628,"Borgmester Jensens Allé 25A, 3 2",2100 København Ø,3.799.000 kr.,2.389.000 kr.,,
629,"Borgmester Jensens Allé 25A, 3 3",2100 København Ø,5.055.000 kr.,3.234.000 kr.,,
630,"Borgmester Jensens Allé 25B, 2 tv",2100 København Ø,7.220.000 kr.,4.574.000 kr.,,
631,"Borgmester Jensens Allé 25B, 3 2",2100 København Ø,7.655.000 kr.,4.852.000 kr.,,
632,"Borgmester Jensens Allé 25B, 2 th",2100 København Ø,7.220.000 kr.,4.574.000 kr.,,
633,"Borgmester Jensens Allé 25B, 3 1",2100 København Ø,7.333.000 kr.,4.637.000 kr.,,
634,"Borgmester Jensens Allé 25B, 3 3",2100 København Ø,7.582.000 kr.,4.637.000 kr.,,
635,"Borgmester Jensens Allé 25C, 2 3",2100 København Ø,4.847.000 kr.,3.119.000 kr.,,
636,"Borgmester Jensens Allé 25C, 2 2",2100 København Ø,3.643.000 kr.,2.305.000 kr.,,
637,"Borgmester Jensens Allé 25C, 2 1",2100 København Ø,6.239.000 kr.,4.000.000 kr.,,
638,"Borgmester Jensens Allé 25C, 3 3",2100 København Ø,4.924.000 kr.,3.161.000 kr.,,
639,"Borgmester Jensens Allé 25C, 3 2",2100 København Ø,3.701.000 kr.,2.337.000 kr.,,
640,"Borgmester Jensens Allé 25C, 3 1",2100 København Ø,6.338.000 kr.,4.055.000 kr.,,
641,"Marskensgade 27A, kl",2100 København Ø,,2.001.000 kr.,,
642,"Serridslevvej 14A, kl",2100 København Ø,,2.375.000 kr.,,
643,"Marskensgade 7, st",2100 København Ø,,1.319.000 kr.,,
644,,,,,,
645,"Skindergade 36, 1",1159 København K,9.104.000 kr.,5.692.000 kr.,,
646,"Skindergade 36, 2",1159 København K,9.197.000 kr.,5.743.000 kr.,,
647,"Skindergade 36, 3",1159 København K,9.342.000 kr.,5.822.000 kr.,,
648,"Skindergade 36, 4",1159 København K,7.364.000 kr.,4.678.000 kr.,,
649,"Folehaven 112, st tv",2500 Valby,2.580.000 kr.,1.438.000 kr.,,
650,"Folehaven 112, st th",2500 Valby,3.717.000 kr.,2.113.000 kr.,,
651,"Folehaven 112, 1 tv",2500 Valby,3.797.000 kr.,2.182.000 kr.,,
652,"Folehaven 112, 1 th",2500 Valby,3.797.000 kr.,2.182.000 kr.,,
653,"Folehaven 112, 2 tv",2500 Valby,3.835.000 kr.,2.216.000 kr.,,
654,"Folehaven 112, 2 th",2500 Valby,3.835.000 kr.,2.216.000 kr.,,
655,"Rebslagervej 17, st th",2400 København NV,3.708.000 kr.,2.241.000 kr.,,
656,"Rebslagervej 17, 1 th",2400 København NV,4.499.000 kr.,2.747.000 kr.,,
657,"Rebslagervej 17, 1 tv",2400 København NV,3.787.000 kr.,2.299.000 kr.,,
658,"Rebslagervej 17, 2 th",2400 København NV,4.093.000 kr.,2.496.000 kr.,,
659,,,,,,
660,"Rebslagervej 17, 2 mf",2400 København NV,4.182.000 kr.,2.552.000 kr.,,
661,"Rebslagervej 17, 2 tv",2400 København NV,4.317.000 kr.,2.637.000 kr.,,
662,"Rebslagervej 17, 3 th",2400 København NV,4.157.000 kr.,2.538.000 kr.,,
663,"Rebslagervej 17, 3 mf",2400 København NV,4.248.000 kr.,2.596.000 kr.,,
664,"Rebslagervej 17, 3 tv",2400 København NV,4.339.000 kr.,2.654.000 kr.,,
665,"Rebslagervej 17, 4 th",2400 København NV,4.244.000 kr.,2.592.000 kr.,,
666,"Rebslagervej 17, 4 mf",2400 København NV,4.337.000 kr.,2.651.000 kr.,,
667,,,,,,
668,"Rebslagervej 17, 4 tv",2400 København NV,4.478.000 kr.,2.739.000 kr.,,
669,"Rebslagervej 19, st tv",2400 København NV,3.730.000 kr.,2.260.000 kr.,,
670,"Rebslagervej 19, st th",2400 København NV,3.817.000 kr.,2.316.000 kr.,,
671,"Rebslagervej 19, 1 th",2400 København NV,3.809.000 kr.,2.315.000 kr.,,
672,"Rebslagervej 19, 1 tv",2400 København NV,3.899.000 kr.,2.373.000 kr.,,
